
"NAM"	"DAT"	"PERIOD"	"КАТО(по отчету)"	"LКАТО(по отчету)"	"ГОКЭД(по каталогу)02"	"LГОКЭД(по каталогу)02"	"ГЗВ"	"LГЗВ"	"VAL"
"Объем выбросов загрязняющих веществ в атмосферу(Тонна (метрическая))"	"2016 год"	"201612"	"РЕСПУБЛИКА КАЗАХСТАН"	"1"	"Всего"	"1"	"Всего"	"1"	"2 271 609 952 000.000"
"Объем выбросов загрязняющих веществ в атмосферу(Тонна (метрическая))"	"2013 год"	"201312"	"РЕСПУБЛИКА КАЗАХСТАН"	"1"	"Всего"	"1"	"Всего"	"1"	"2 282 700 885 000.000"
"Объем выбросов загрязняющих веществ в атмосферу(Тонна (метрическая))"	"2014 год"	"201412"	"РЕСПУБЛИКА КАЗАХСТАН"	"1"	"Всего"	"1"	"Всего"	"1"	"2 256 674 137 000.000"
"Объем выбросов загрязняющих веществ в атмосферу(Тонна (метрическая))"	"2015 год"	"201512"	"РЕСПУБЛИКА КАЗАХСТАН"	"1"	"Всего"	"1"	"Всего"	"1"	"2 180 039 014 000.000"
"Объем выбросов загрязняющих веществ в атмосферу(Тонна (метрическая))"	"2016 год"	"201612"	"РЕСПУБЛИКА КАЗАХСТАН"	"1"	"Растениеводство и животноводство, охота и предоставление услуг в этих областях"	"4"	"Всего"	"1"	"33 063 972 000.000"
"Объем выбросов загрязняющих веществ в атмосферу(Тонна (метрическая))"	"2015 год"	"201512"	"РЕСПУБЛИКА КАЗАХСТАН"	"1"	"Растениеводство и животноводство, охота и предоставление услуг в этих областях"	"4"	"Всего"	"1"	"34 854 037 000.000"
"Объем выбросов загрязняющих веществ в атмосферу(Тонна (метрическая))"	"2016 год"	"201612"	"РЕСПУБЛИКА КАЗАХСТАН"	"1"	"Промышленность"	"147"	"Всего"	"1"	"1 834 800 379 000.000"
"Объем выбросов загрязняющих веществ в атмосферу(Тонна (метрическая))"	"2013 год"	"201312"	"РЕСПУБЛИКА КАЗАХСТАН"	"1"	"Промышленность"	"147"	"Всего"	"1"	"1 905 991 489 000.000"
"Объем выбросов загрязняющих веществ в атмосферу(Тонна (метрическая))"	"2014 год"	"201412"	"РЕСПУБЛИКА КАЗАХСТАН"	"1"	"Промышленность"	"147"	"Всего"	"1"	"1 885 486 780 000.000"
"Объем выбросов загрязняющих веществ в атмосферу(Тонна (метрическая))"	"2015 год"	"201512"	"РЕСПУБЛИКА КАЗАХСТАН"	"1"	"Промышленность"	"147"	"Всего"	"1"	"1 811 023 966 000.000"
"Объем выбросов загрязняющих веществ в атмосферу(Тонна (метрическая))"	"2016 год"	"201612"	"РЕСПУБЛИКА КАЗАХСТАН"	"1"	"Лесоводство и лесозаготовки"	"149"	"Всего"	"1"	"94 731 000.000"
"Объем выбросов загрязняющих веществ в атмосферу(Тонна (метрическая))"	"2015 год"	"201512"	"РЕСПУБЛИКА КАЗАХСТАН"	"1"	"Лесоводство и лесозаготовки"	"149"	"Всего"	"1"	"142 839 000.000"
"Объем выбросов загрязняющих веществ в атмосферу(Тонна (метрическая))"	"2016 год"	"201612"	"РЕСПУБЛИКА КАЗАХСТАН"	"1"	"Рыболовство и рыбоводство"	"175"	"Всего"	"1"	"44 139 000.000"
"Объем выбросов загрязняющих веществ в атмосферу(Тонна (метрическая))"	"2015 год"	"201512"	"РЕСПУБЛИКА КАЗАХСТАН"	"1"	"Рыболовство и рыбоводство"	"175"	"Всего"	"1"	"21 115 000.000"
"Объем выбросов загрязняющих веществ в атмосферу(Тонна (метрическая))"	"2014 год"	"201412"	"РЕСПУБЛИКА КАЗАХСТАН"	"1"	"Добыча угля "	"188"	"Всего"	"1"	"18 510 429 000.000"
"Объем выбросов загрязняющих веществ в атмосферу(Тонна (метрическая))"	"2014 год"	"201412"	"РЕСПУБЛИКА КАЗАХСТАН"	"1"	"Добыча сырой нефти и природного газа"	"207"	"Всего"	"1"	"185 399 964 000.000"
"Объем выбросов загрязняющих веществ в атмосферу(Тонна (метрическая))"	"2014 год"	"201412"	"РЕСПУБЛИКА КАЗАХСТАН"	"1"	"Добыча металлических руд"	"216"	"Всего"	"1"	"86 455 216 000.000"
"Объем выбросов загрязняющих веществ в атмосферу(Тонна (метрическая))"	"2014 год"	"201412"	"РЕСПУБЛИКА КАЗАХСТАН"	"1"	"Добыча прочих полезных ископаемых"	"235"	"Всего"	"1"	"17 891 356 000.000"
"Объем выбросов загрязняющих веществ в атмосферу(Тонна (метрическая))"	"2014 год"	"201412"	"РЕСПУБЛИКА КАЗАХСТАН"	"1"	"Предоставление услуг в горнодобывающей промышленности"	"258"	"Всего"	"1"	"11 780 248 000.000"
"Объем выбросов загрязняющих веществ в атмосферу(Тонна (метрическая))"	"2014 год"	"201412"	"РЕСПУБЛИКА КАЗАХСТАН"	"1"	"Производство продуктов питания"	"265"	"Всего"	"1"	"10 501 325 000.000"
"Объем выбросов загрязняющих веществ в атмосферу(Тонна (метрическая))"	"2014 год"	"201412"	"РЕСПУБЛИКА КАЗАХСТАН"	"1"	"Производство напитков"	"356"	"Всего"	"1"	"1 833 120 000.000"
"Объем выбросов загрязняющих веществ в атмосферу(Тонна (метрическая))"	"2014 год"	"201412"	"РЕСПУБЛИКА КАЗАХСТАН"	"1"	"Производство табачных изделий"	"386"	"Всего"	"1"	"55 522 000.000"
"Объем выбросов загрязняющих веществ в атмосферу(Тонна (метрическая))"	"2014 год"	"201412"	"РЕСПУБЛИКА КАЗАХСТАН"	"1"	"Производство текстильных изделий"	"399"	"Всего"	"1"	"503 370 000.000"
"Объем выбросов загрязняющих веществ в атмосферу(Тонна (метрическая))"	"2014 год"	"201412"	"РЕСПУБЛИКА КАЗАХСТАН"	"1"	"Производство одежды"	"459"	"Всего"	"1"	"145 624 000.000"
"Объем выбросов загрязняющих веществ в атмосферу(Тонна (метрическая))"	"2014 год"	"201412"	"РЕСПУБЛИКА КАЗАХСТАН"	"1"	"Производство кожаной и относящейся к ней продукции"	"513"	"Всего"	"1"	"44 104 000.000"
"Объем выбросов загрязняющих веществ в атмосферу(Тонна (метрическая))"	"2014 год"	"201412"	"РЕСПУБЛИКА КАЗАХСТАН"	"1"	"Производство деревянных и пробковых изделий, кроме мебели; производство изделий из соломки и материалов для плетения"	"626"	"Всего"	"1"	"457 958 000.000"
"Объем выбросов загрязняющих веществ в атмосферу(Тонна (метрическая))"	"2014 год"	"201412"	"РЕСПУБЛИКА КАЗАХСТАН"	"1"	"Производство бумаги и бумажной продукции"	"653"	"Всего"	"1"	"353 484 000.000"
"Объем выбросов загрязняющих веществ в атмосферу(Тонна (метрическая))"	"2014 год"	"201412"	"РЕСПУБЛИКА КАЗАХСТАН"	"1"	"Полиграфическая деятельность и воспроизведение записанных носителей информации"	"762"	"Всего"	"1"	"140 327 000.000"
"Объем выбросов загрязняющих веществ в атмосферу(Тонна (метрическая))"	"2014 год"	"201412"	"РЕСПУБЛИКА КАЗАХСТАН"	"1"	"Производство кокса и продуктов нефтепереработки"	"802"	"Всего"	"1"	"48 063 448 000.000"
"Объем выбросов загрязняющих веществ в атмосферу(Тонна (метрическая))"	"2014 год"	"201412"	"РЕСПУБЛИКА КАЗАХСТАН"	"1"	"Производство продуктов химической промышленности"	"830"	"Всего"	"1"	"16 374 715 000.000"
"Объем выбросов загрязняющих веществ в атмосферу(Тонна (метрическая))"	"2014 год"	"201412"	"РЕСПУБЛИКА КАЗАХСТАН"	"1"	"Производство основных фармацевтических продуктов и фармацевтических препаратов"	"915"	"Всего"	"1"	"134 460 000.000"
"Объем выбросов загрязняющих веществ в атмосферу(Тонна (метрическая))"	"2014 год"	"201412"	"РЕСПУБЛИКА КАЗАХСТАН"	"1"	"Производство резиновых и пластмассовых изделий"	"945"	"Всего"	"1"	"1 371 074 000.000"
"Объем выбросов загрязняющих веществ в атмосферу(Тонна (метрическая))"	"2014 год"	"201412"	"РЕСПУБЛИКА КАЗАХСТАН"	"1"	"Производство прочей не металлической минеральной продукции"	"1006"	"Всего"	"1"	"51 287 125 000.000"
"Объем выбросов загрязняющих веществ в атмосферу(Тонна (метрическая))"	"2014 год"	"201412"	"РЕСПУБЛИКА КАЗАХСТАН"	"1"	"Металлургическое производство"	"1095"	"Всего"	"1"	"535 886 273 000.000"
"Объем выбросов загрязняющих веществ в атмосферу(Тонна (метрическая))"	"2014 год"	"201412"	"РЕСПУБЛИКА КАЗАХСТАН"	"1"	"Производство готовых металлических изделий, кроме машин и оборудования"	"1206"	"Всего"	"1"	"2 476 224 000.000"
"Объем выбросов загрязняющих веществ в атмосферу(Тонна (метрическая))"	"2014 год"	"201412"	"РЕСПУБЛИКА КАЗАХСТАН"	"1"	"Производство компьютеров, электронного и оптического оборудования"	"1282"	"Всего"	"1"	"13 523 000.000"
"Объем выбросов загрязняющих веществ в атмосферу(Тонна (метрическая))"	"2014 год"	"201412"	"РЕСПУБЛИКА КАЗАХСТАН"	"1"	"Производство электрического оборудования"	"1412"	"Всего"	"1"	"809 658 000.000"
"Объем выбросов загрязняющих веществ в атмосферу(Тонна (метрическая))"	"2014 год"	"201412"	"РЕСПУБЛИКА КАЗАХСТАН"	"1"	"Производство машин и оборудования, не включенных в другие группировки "	"1506"	"Всего"	"1"	"3 776 260 000.000"
"Объем выбросов загрязняющих веществ в атмосферу(Тонна (метрическая))"	"2014 год"	"201412"	"РЕСПУБЛИКА КАЗАХСТАН"	"1"	"Производство автомобилей, прицепов и полуприцепов"	"1658"	"Всего"	"1"	"95 515 000.000"
"Объем выбросов загрязняющих веществ в атмосферу(Тонна (метрическая))"	"2014 год"	"201412"	"РЕСПУБЛИКА КАЗАХСТАН"	"1"	"Производство прочих транспортных средств"	"1810"	"Всего"	"1"	"404 730 000.000"
"Объем выбросов загрязняющих веществ в атмосферу(Тонна (метрическая))"	"2014 год"	"201412"	"РЕСПУБЛИКА КАЗАХСТАН"	"1"	"Производство мебели"	"1845"	"Всего"	"1"	"224 797 000.000"
"Объем выбросов загрязняющих веществ в атмосферу(Тонна (метрическая))"	"2014 год"	"201412"	"РЕСПУБЛИКА КАЗАХСТАН"	"1"	"Производство прочих готовых изделий"	"1893"	"Всего"	"1"	"165 985 000.000"
"Объем выбросов загрязняющих веществ в атмосферу(Тонна (метрическая))"	"2014 год"	"201412"	"РЕСПУБЛИКА КАЗАХСТАН"	"1"	"Ремонт и установка машин и оборудования"	"1941"	"Всего"	"1"	"6 919 155 000.000"
"Объем выбросов загрязняющих веществ в атмосферу(Тонна (метрическая))"	"2016 год"	"201612"	"РЕСПУБЛИКА КАЗАХСТАН"	"1"	"Строительство зданий"	"2237"	"Всего"	"1"	"6 180 331 000.000"
"Объем выбросов загрязняющих веществ в атмосферу(Тонна (метрическая))"	"2015 год"	"201512"	"РЕСПУБЛИКА КАЗАХСТАН"	"1"	"Строительство зданий"	"2237"	"Всего"	"1"	"7 675 169 000.000"
"Объем выбросов загрязняющих веществ в атмосферу(Тонна (метрическая))"	"2016 год"	"201612"	"РЕСПУБЛИКА КАЗАХСТАН"	"1"	"Гражданское строительство"	"2253"	"Всего"	"1"	"39 098 128 000.000"
"Объем выбросов загрязняющих веществ в атмосферу(Тонна (метрическая))"	"2015 год"	"201512"	"РЕСПУБЛИКА КАЗАХСТАН"	"1"	"Гражданское строительство"	"2253"	"Всего"	"1"	"34 655 990 000.000"
"Объем выбросов загрязняющих веществ в атмосферу(Тонна (метрическая))"	"2016 год"	"201612"	"РЕСПУБЛИКА КАЗАХСТАН"	"1"	"Специализированные строительные работы"	"2280"	"Всего"	"1"	"4 332 426 000.000"
"Объем выбросов загрязняющих веществ в атмосферу(Тонна (метрическая))"	"2015 год"	"201512"	"РЕСПУБЛИКА КАЗАХСТАН"	"1"	"Специализированные строительные работы"	"2280"	"Всего"	"1"	"2 892 287 000.000"
"Объем выбросов загрязняющих веществ в атмосферу(Тонна (метрическая))"	"2016 год"	"201612"	"РЕСПУБЛИКА КАЗАХСТАН"	"1"	"Оптовая и розничная торговля автомобилями и мотоциклами и их ремонт"	"2320"	"Всего"	"1"	"1 398 155 000.000"
"Объем выбросов загрязняющих веществ в атмосферу(Тонна (метрическая))"	"2015 год"	"201512"	"РЕСПУБЛИКА КАЗАХСТАН"	"1"	"Оптовая и розничная торговля автомобилями и мотоциклами и их ремонт"	"2320"	"Всего"	"1"	"502 089 000.000"
"Объем выбросов загрязняющих веществ в атмосферу(Тонна (метрическая))"	"2016 год"	"201612"	"РЕСПУБЛИКА КАЗАХСТАН"	"1"	"Оптовая торговля, за исключением торговли автомобилями и мотоциклами"	"2415"	"Всего"	"1"	"6 061 487 000.000"
"Объем выбросов загрязняющих веществ в атмосферу(Тонна (метрическая))"	"2015 год"	"201512"	"РЕСПУБЛИКА КАЗАХСТАН"	"1"	"Оптовая торговля, за исключением торговли автомобилями и мотоциклами"	"2415"	"Всего"	"1"	"7 026 078 000.000"
"Объем выбросов загрязняющих веществ в атмосферу(Тонна (метрическая))"	"2016 год"	"201612"	"РЕСПУБЛИКА КАЗАХСТАН"	"1"	"Розничная торговля, кроме торговли автомобилями и мотоциклами"	"2564"	"Всего"	"1"	"6 532 979 000.000"
"Объем выбросов загрязняющих веществ в атмосферу(Тонна (метрическая))"	"2015 год"	"201512"	"РЕСПУБЛИКА КАЗАХСТАН"	"1"	"Розничная торговля, кроме торговли автомобилями и мотоциклами"	"2564"	"Всего"	"1"	"7 403 046 000.000"
"Объем выбросов загрязняющих веществ в атмосферу(Тонна (метрическая))"	"2016 год"	"201612"	"РЕСПУБЛИКА КАЗАХСТАН"	"1"	"Деятельность сухопутного и трубопроводного транспорта "	"2731"	"Всего"	"1"	"82 875 541 000.000"
"Объем выбросов загрязняющих веществ в атмосферу(Тонна (метрическая))"	"2015 год"	"201512"	"РЕСПУБЛИКА КАЗАХСТАН"	"1"	"Деятельность сухопутного и трубопроводного транспорта "	"2731"	"Всего"	"1"	"84 641 891 000.000"
"Объем выбросов загрязняющих веществ в атмосферу(Тонна (метрическая))"	"2016 год"	"201612"	"РЕСПУБЛИКА КАЗАХСТАН"	"1"	"Деятельность водного транспорта"	"2757"	"Всего"	"1"	"329 601 000.000"
"Объем выбросов загрязняющих веществ в атмосферу(Тонна (метрическая))"	"2015 год"	"201512"	"РЕСПУБЛИКА КАЗАХСТАН"	"1"	"Деятельность водного транспорта"	"2757"	"Всего"	"1"	"586 353 000.000"
"Объем выбросов загрязняющих веществ в атмосферу(Тонна (метрическая))"	"2016 год"	"201612"	"РЕСПУБЛИКА КАЗАХСТАН"	"1"	"Деятельность воздушного транспорта "	"2802"	"Всего"	"1"	"54 698 000.000"
"Объем выбросов загрязняющих веществ в атмосферу(Тонна (метрическая))"	"2015 год"	"201512"	"РЕСПУБЛИКА КАЗАХСТАН"	"1"	"Деятельность воздушного транспорта "	"2802"	"Всего"	"1"	"52 850 000.000"
"Объем выбросов загрязняющих веществ в атмосферу(Тонна (метрическая))"	"2016 год"	"201612"	"РЕСПУБЛИКА КАЗАХСТАН"	"1"	"Складирование грузов и вспомогательная транспортная деятельность"	"3003"	"Всего"	"1"	"14 231 554 000.000"
"Объем выбросов загрязняющих веществ в атмосферу(Тонна (метрическая))"	"2015 год"	"201512"	"РЕСПУБЛИКА КАЗАХСТАН"	"1"	"Складирование грузов и вспомогательная транспортная деятельность"	"3003"	"Всего"	"1"	"14 572 282 000.000"
"Объем выбросов загрязняющих веществ в атмосферу(Тонна (метрическая))"	"2016 год"	"201612"	"РЕСПУБЛИКА КАЗАХСТАН"	"1"	"Почтовая и курьерская деятельность"	"3130"	"Всего"	"1"	"757 574 000.000"
"Объем выбросов загрязняющих веществ в атмосферу(Тонна (метрическая))"	"2015 год"	"201512"	"РЕСПУБЛИКА КАЗАХСТАН"	"1"	"Почтовая и курьерская деятельность"	"3130"	"Всего"	"1"	"1 200 392 000.000"
"Объем выбросов загрязняющих веществ в атмосферу(Тонна (метрическая))"	"2016 год"	"201612"	"РЕСПУБЛИКА КАЗАХСТАН"	"1"	"Предоставление услуг по временному проживанию"	"3137"	"Всего"	"1"	"531 400 000.000"
"Объем выбросов загрязняющих веществ в атмосферу(Тонна (метрическая))"	"2015 год"	"201512"	"РЕСПУБЛИКА КАЗАХСТАН"	"1"	"Предоставление услуг по временному проживанию"	"3137"	"Всего"	"1"	"571 109 000.000"
"Объем выбросов загрязняющих веществ в атмосферу(Тонна (метрическая))"	"2016 год"	"201612"	"РЕСПУБЛИКА КАЗАХСТАН"	"1"	"Предоставление услуг по обеспечению питанием и напитками"	"3199"	"Всего"	"1"	"144 966 000.000"
"Объем выбросов загрязняющих веществ в атмосферу(Тонна (метрическая))"	"2015 год"	"201512"	"РЕСПУБЛИКА КАЗАХСТАН"	"1"	"Предоставление услуг по обеспечению питанием и напитками"	"3199"	"Всего"	"1"	"101 391 000.000"
"Объем выбросов загрязняющих веществ в атмосферу(Тонна (метрическая))"	"2016 год"	"201612"	"РЕСПУБЛИКА КАЗАХСТАН"	"1"	"Издательская деятельность"	"3216"	"Всего"	"1"	"24 485 000.000"
"Объем выбросов загрязняющих веществ в атмосферу(Тонна (метрическая))"	"2015 год"	"201512"	"РЕСПУБЛИКА КАЗАХСТАН"	"1"	"Издательская деятельность"	"3216"	"Всего"	"1"	"34 623 000.000"
"Объем выбросов загрязняющих веществ в атмосферу(Тонна (метрическая))"	"2016 год"	"201612"	"РЕСПУБЛИКА КАЗАХСТАН"	"1"	"Производство кино-, видеофильмов и телевизионных программ, деятельность в сфере звукозаписи и издания музыкальных произведений "	"3233"	"Всего"	"1"	"5 700 000.000"
"Объем выбросов загрязняющих веществ в атмосферу(Тонна (метрическая))"	"2015 год"	"201512"	"РЕСПУБЛИКА КАЗАХСТАН"	"1"	"Производство кино-, видеофильмов и телевизионных программ, деятельность в сфере звукозаписи и издания музыкальных произведений "	"3233"	"Всего"	"1"	"5 541 000.000"
"Объем выбросов загрязняющих веществ в атмосферу(Тонна (метрическая))"	"2016 год"	"201612"	"РЕСПУБЛИКА КАЗАХСТАН"	"1"	"Деятельность по созданию программ и телерадиовещание"	"3247"	"Всего"	"1"	"39 250 000.000"
"Объем выбросов загрязняющих веществ в атмосферу(Тонна (метрическая))"	"2015 год"	"201512"	"РЕСПУБЛИКА КАЗАХСТАН"	"1"	"Деятельность по созданию программ и телерадиовещание"	"3247"	"Всего"	"1"	"59 745 000.000"
"Объем выбросов загрязняющих веществ в атмосферу(Тонна (метрическая))"	"2016 год"	"201612"	"РЕСПУБЛИКА КАЗАХСТАН"	"1"	"Телекоммуникации"	"3288"	"Всего"	"1"	"640 034 000.000"
"Объем выбросов загрязняющих веществ в атмосферу(Тонна (метрическая))"	"2015 год"	"201512"	"РЕСПУБЛИКА КАЗАХСТАН"	"1"	"Телекоммуникации"	"3288"	"Всего"	"1"	"541 784 000.000"
"Объем выбросов загрязняющих веществ в атмосферу(Тонна (метрическая))"	"2016 год"	"201612"	"РЕСПУБЛИКА КАЗАХСТАН"	"1"	"Компьютерное программирование, консультационные и другие сопутствующие услуги"	"3328"	"Всего"	"1"	"16 074 000.000"
"Объем выбросов загрязняющих веществ в атмосферу(Тонна (метрическая))"	"2015 год"	"201512"	"РЕСПУБЛИКА КАЗАХСТАН"	"1"	"Компьютерное программирование, консультационные и другие сопутствующие услуги"	"3328"	"Всего"	"1"	"4 750 000.000"
"Объем выбросов загрязняющих веществ в атмосферу(Тонна (метрическая))"	"2016 год"	"201612"	"РЕСПУБЛИКА КАЗАХСТАН"	"1"	"Деятельность в области информационного обслуживания"	"3368"	"Всего"	"1"	"33 776 000.000"
"Объем выбросов загрязняющих веществ в атмосферу(Тонна (метрическая))"	"2015 год"	"201512"	"РЕСПУБЛИКА КАЗАХСТАН"	"1"	"Деятельность в области информационного обслуживания"	"3368"	"Всего"	"1"	"27 526 000.000"
"Объем выбросов загрязняющих веществ в атмосферу(Тонна (метрическая))"	"2016 год"	"201612"	"РЕСПУБЛИКА КАЗАХСТАН"	"1"	"Финансовое посредничество, кроме страхования и пенсионного обеспечения"	"3411"	"Всего"	"1"	"260 700 000.000"
"Объем выбросов загрязняющих веществ в атмосферу(Тонна (метрическая))"	"2015 год"	"201512"	"РЕСПУБЛИКА КАЗАХСТАН"	"1"	"Финансовое посредничество, кроме страхования и пенсионного обеспечения"	"3411"	"Всего"	"1"	"229 722 000.000"
"Объем выбросов загрязняющих веществ в атмосферу(Тонна (метрическая))"	"2016 год"	"201612"	"РЕСПУБЛИКА КАЗАХСТАН"	"1"	"Страхование, перестрахование и пенсионной обеспечение, кроме обязательного социального обеспечения"	"3454"	"Всего"	"1"	"24 557 000.000"
"Объем выбросов загрязняющих веществ в атмосферу(Тонна (метрическая))"	"2015 год"	"201512"	"РЕСПУБЛИКА КАЗАХСТАН"	"1"	"Страхование, перестрахование и пенсионной обеспечение, кроме обязательного социального обеспечения"	"3454"	"Всего"	"1"	"35 888 000.000"
"Объем выбросов загрязняющих веществ в атмосферу(Тонна (метрическая))"	"2016 год"	"201612"	"РЕСПУБЛИКА КАЗАХСТАН"	"1"	"Вспомогательная деятельность в сфере финансовых услуг и страхования"	"3485"	"Всего"	"1"	"151 000.000"
"Объем выбросов загрязняющих веществ в атмосферу(Тонна (метрическая))"	"2015 год"	"201512"	"РЕСПУБЛИКА КАЗАХСТАН"	"1"	"Вспомогательная деятельность в сфере финансовых услуг и страхования"	"3485"	"Всего"	"1"	"356 000.000"
"Объем выбросов загрязняющих веществ в атмосферу(Тонна (метрическая))"	"2016 год"	"201612"	"РЕСПУБЛИКА КАЗАХСТАН"	"1"	"Операции с недвижимым имуществом"	"3539"	"Всего"	"1"	"7 778 800 000.000"
"Объем выбросов загрязняющих веществ в атмосферу(Тонна (метрическая))"	"2015 год"	"201512"	"РЕСПУБЛИКА КАЗАХСТАН"	"1"	"Операции с недвижимым имуществом"	"3539"	"Всего"	"1"	"7 165 432 000.000"
"Объем выбросов загрязняющих веществ в атмосферу(Тонна (метрическая))"	"2016 год"	"201612"	"РЕСПУБЛИКА КАЗАХСТАН"	"1"	"Деятельность в области права и бухгалтерского учета"	"3560"	"Всего"	"1"	"275 000.000"
"Объем выбросов загрязняющих веществ в атмосферу(Тонна (метрическая))"	"2015 год"	"201512"	"РЕСПУБЛИКА КАЗАХСТАН"	"1"	"Деятельность в области права и бухгалтерского учета"	"3560"	"Всего"	"1"	"75 000.000"
"Объем выбросов загрязняющих веществ в атмосферу(Тонна (метрическая))"	"2016 год"	"201612"	"РЕСПУБЛИКА КАЗАХСТАН"	"1"	"Деятельность головных компаний; консультирование по вопросам управления "	"3576"	"Всего"	"1"	"101 125 000.000"
"Объем выбросов загрязняющих веществ в атмосферу(Тонна (метрическая))"	"2015 год"	"201512"	"РЕСПУБЛИКА КАЗАХСТАН"	"1"	"Деятельность головных компаний; консультирование по вопросам управления "	"3576"	"Всего"	"1"	"65 066 000.000"
"Объем выбросов загрязняющих веществ в атмосферу(Тонна (метрическая))"	"2016 год"	"201612"	"РЕСПУБЛИКА КАЗАХСТАН"	"1"	"Деятельность в области архитектуры, инженерных изысканий, технических испытаний и анализа"	"3609"	"Всего"	"1"	"73 479 976 000.000"
"Объем выбросов загрязняющих веществ в атмосферу(Тонна (метрическая))"	"2015 год"	"201512"	"РЕСПУБЛИКА КАЗАХСТАН"	"1"	"Деятельность в области архитектуры, инженерных изысканий, технических испытаний и анализа"	"3609"	"Всего"	"1"	"14 777 721 000.000"
"Объем выбросов загрязняющих веществ в атмосферу(Тонна (метрическая))"	"2016 год"	"201612"	"РЕСПУБЛИКА КАЗАХСТАН"	"1"	"Научные исследования и разработки"	"3670"	"Всего"	"1"	"1 073 953 000.000"
"Объем выбросов загрязняющих веществ в атмосферу(Тонна (метрическая))"	"2015 год"	"201512"	"РЕСПУБЛИКА КАЗАХСТАН"	"1"	"Научные исследования и разработки"	"3670"	"Всего"	"1"	"549 889 000.000"
"Объем выбросов загрязняющих веществ в атмосферу(Тонна (метрическая))"	"2016 год"	"201612"	"РЕСПУБЛИКА КАЗАХСТАН"	"1"	"Рекламная деятельность и исследование конъюнктуры рынка"	"3720"	"Всего"	"1"	"7 389 000.000"
"Объем выбросов загрязняющих веществ в атмосферу(Тонна (метрическая))"	"2015 год"	"201512"	"РЕСПУБЛИКА КАЗАХСТАН"	"1"	"Рекламная деятельность и исследование конъюнктуры рынка"	"3720"	"Всего"	"1"	"13 525 000.000"
"Объем выбросов загрязняющих веществ в атмосферу(Тонна (метрическая))"	"2016 год"	"201612"	"РЕСПУБЛИКА КАЗАХСТАН"	"1"	"Прочая профессиональная, научная и техническая деятельность"	"3739"	"Всего"	"1"	"93 230 000.000"
"Объем выбросов загрязняющих веществ в атмосферу(Тонна (метрическая))"	"2015 год"	"201512"	"РЕСПУБЛИКА КАЗАХСТАН"	"1"	"Прочая профессиональная, научная и техническая деятельность"	"3739"	"Всего"	"1"	"90 052 000.000"
"Объем выбросов загрязняющих веществ в атмосферу(Тонна (метрическая))"	"2016 год"	"201612"	"РЕСПУБЛИКА КАЗАХСТАН"	"1"	"Ветеринарная деятельность"	"3827"	"Всего"	"1"	"622 011 000.000"
"Объем выбросов загрязняющих веществ в атмосферу(Тонна (метрическая))"	"2015 год"	"201512"	"РЕСПУБЛИКА КАЗАХСТАН"	"1"	"Ветеринарная деятельность"	"3827"	"Всего"	"1"	"503 684 000.000"
"Объем выбросов загрязняющих веществ в атмосферу(Тонна (метрическая))"	"2016 год"	"201612"	"РЕСПУБЛИКА КАЗАХСТАН"	"1"	"Аренда, прокат и лизинг"	"3868"	"Всего"	"1"	"430 486 000.000"
"Объем выбросов загрязняющих веществ в атмосферу(Тонна (метрическая))"	"2015 год"	"201512"	"РЕСПУБЛИКА КАЗАХСТАН"	"1"	"Аренда, прокат и лизинг"	"3868"	"Всего"	"1"	"2 398 177 000.000"
"Объем выбросов загрязняющих веществ в атмосферу(Тонна (метрическая))"	"2016 год"	"201612"	"РЕСПУБЛИКА КАЗАХСТАН"	"1"	"Деятельность в области трудоустройства"	"3909"	"Всего"	"1"	"1 937 000.000"
"Объем выбросов загрязняющих веществ в атмосферу(Тонна (метрическая))"	"2015 год"	"201512"	"РЕСПУБЛИКА КАЗАХСТАН"	"1"	"Деятельность в области трудоустройства"	"3909"	"Всего"	"1"	"1 279 000.000"
"Объем выбросов загрязняющих веществ в атмосферу(Тонна (метрическая))"	"2016 год"	"201612"	"РЕСПУБЛИКА КАЗАХСТАН"	"1"	"Деятельность туристских агентств и операторов, бронирование и сопутствующая деятельность"	"3922"	"Всего"	"1"	"12 720 000.000"
"Объем выбросов загрязняющих веществ в атмосферу(Тонна (метрическая))"	"2015 год"	"201512"	"РЕСПУБЛИКА КАЗАХСТАН"	"1"	"Деятельность туристских агентств и операторов, бронирование и сопутствующая деятельность"	"3922"	"Всего"	"1"	"12 037 000.000"
"Объем выбросов загрязняющих веществ в атмосферу(Тонна (метрическая))"	"2016 год"	"201612"	"РЕСПУБЛИКА КАЗАХСТАН"	"1"	"Деятельность по обеспечению безопасности и проведению расследований"	"3932"	"Всего"	"1"	"70 138 000.000"
"Объем выбросов загрязняющих веществ в атмосферу(Тонна (метрическая))"	"2015 год"	"201512"	"РЕСПУБЛИКА КАЗАХСТАН"	"1"	"Деятельность по обеспечению безопасности и проведению расследований"	"3932"	"Всего"	"1"	"71 175 000.000"
"Объем выбросов загрязняющих веществ в атмосферу(Тонна (метрическая))"	"2016 год"	"201612"	"РЕСПУБЛИКА КАЗАХСТАН"	"1"	"Деятельность по обслуживанию зданий и благоустройству территорий"	"3971"	"Всего"	"1"	"4 438 811 000.000"
